,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
62,50.98,71.43877308828017,53.098822743332086,56.78554134906991,71.30869556122043,58.84323849061852,64.13580576442513,51.05898094850346,56.13197082244362,51.05682112938831
63,49.27,69.66804980740757,49.86956056246079,54.09076072115803,70.75188745705705,54.44119032004754,61.72456770561255,45.75079814039258,50.6909822947065,51.16532993651256
64,40.91,67.59403403254451,46.983090725362274,51.475274504970734,69.84386245151968,52.24238499630919,59.20540184364823,43.83849513787431,48.64475787652784,51.21437846027764
65,41.71,66.7035822920883,46.48166745640316,50.48853609168127,69.65167223166112,53.734453719764126,58.56639851807148,47.05175444845968,51.27374190964138,51.27980876996288
66,48.759995,67.1999449322435,47.857771155086816,51.45514987461905,69.22232713668124,56.54529199626899,59.83144625453408,50.48566054303478,55.04583020777273,51.15090167119556
67,53.8,68.36445372042196,49.27412411447384,52.88737518890688,68.86822626631336,58.54520871377022,61.57906410206567,51.9520472068359,57.28373962496431,50.99608516339388
68,54.82,68.22675577894036,48.06913029586404,52.42246254639332,68.51538844805958,55.63730909246877,61.375839016903385,47.31352620928524,53.05985758561142,50.93271783882837
69,44.49,69.05888819311383,50.67795601723619,53.26822750305188,68.64354613590585,58.777871333538975,61.75126020695767,51.11664769786056,57.29584808456502,50.96631923523773
70,56.69,70.01100213778149,54.140979673215526,56.25409112118439,69.46799077287804,59.763060402901786,63.04532025048165,52.10209358781992,58.19892192581503,51.16888753330066
71,54.65,70.39507944499123,54.52553694022863,57.5636319734538,70.65008124648509,58.98779901525352,63.38021009819375,51.52503454809344,56.859994061023706,51.44836728476621
72,51.22,70.84485230283016,53.87885846797173,57.363631881356255,71.89869246476924,59.74415672292709,63.55755524553766,53.48479041853929,57.77643099364113,51.6953192341194
73,54.25,70.79263772843235,51.970866683336325,56.36519760549001,71.86432902691767,58.72102556805604,63.44567408926871,52.04324798982296,56.31361455714926,51.68560215318809
74,50.539997,70.38019227073943,50.08334476329713,54.87027438425716,71.22662243484477,57.73823629771007,62.81990333967425,50.44710377216435,55.12339002792727,51.62646605320489
75,49.51,69.67575442530372,49.07641435687656,53.74291616892874,70.48718962550045,56.56084437796756,61.97407523040998,48.7224145306778,53.79343825349364,51.62372944029095
76,47.94,68.16476518117923,46.90604033622711,51.82532518822601,69.70075443681591,53.53576720186526,60.31440370158473,45.0236632484661,50.17942513761841,51.65494787837834
77,41.95,65.22469141235737,43.04658672336192,48.11681051317216,68.6852942184513,48.00202433704072,56.98493096597897,38.9530979740973,43.92696351812115,51.62304739214933
78,32.25,61.4762811311921,39.55240357172718,44.1166992067046,66.82125664738736,43.06281694302839,52.77330474230678,33.855842763957995,39.61482360720711,51.3062570812326
79,27.73,57.289591766426405,36.744571359253925,40.86376742921465,65.01200185668661,38.23037955439653,48.49258114764467,29.50951413740152,35.96344519962243,50.82417535031441
80,22.65,53.45414877425068,35.44089948914147,38.93528051894075,63.36646388101838,35.16957905433315,44.85179553712376,27.74162009326456,34.51423814966023,50.070419529995945
81,21.96,50.14055681389316,33.69530252499248,37.3415445206464,61.813255014892505,32.748996514962926,42.02072316575066,26.570484491660665,33.580417409778775,48.98451468505302
82,20.33,46.88243810238787,30.672574625822456,34.662408898254775,60.38432205644882,29.42939453162903,39.23778992062047,24.285231671058074,32.22899795957878,47.59450478259288
83,15.45,44.17737623026703,28.68683145812854,32.26348349246803,58.00053854042356,27.82496048192806,36.86440553366813,22.96900506293124,31.8277473537907,45.71103725984001
84,16.27,41.46311933875538,26.657041453041465,30.522460882059026,55.45001530463929,24.99646684195461,34.60308334045445,19.47142430110952,31.03367912016316,43.66852200470316
85,11.44,38.83171866593015,25.29047590290629,29.407461631667296,53.63110237543921,22.59349756431583,32.282397697877016,17.147404200950803,30.5103334766766,41.76609185954361
86,9.48,37.80605298648344,27.307075433748214,30.03476067431984,52.47673168556344,24.778179860331434,31.638862120297425,20.53047034284563,31.33781575398324,39.9343294801692
87,18.77,37.4174707934,29.06619968603945,31.38768947179621,52.34957601906103,25.28362595027404,31.989756943382307,21.56543419093914,31.52279815644388,38.31108858448894
88,16.81,37.14747235313779,29.148335965020824,31.80751536400932,52.53145552349464,25.11788614677205,31.97954306195277,21.863228198059463,31.45223143482786,36.776585520173214
89,15.66,37.86758046513605,30.586253434169624,32.19729535151431,52.781552472612,27.7566462032489,32.769314813305435,25.538419348169064,32.70310562148315,35.30008601911169
